eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
50249113348	cp	2008	1.210015536E10			342	346
50249168375	cp	2008	1.210015536E10			372	376
50249173439	ar	2008	12396.0	17	3	214	233
50249176553	ar	2008	14129.0	45	4	325	335
50549102699	ar	2008	28428.0	113	1		
50649119519	ar	2008	17592.0	283	29	20087	20095
50849103643	ar	2008	14346.0	1232		155	162
50849108150	ar	2008	29115.0	387	25	6360	6378
50849124777	ar	2008	29427.0	39	12	1292	1298
50849126487	ar	2008	28829.0	26	4		
50849130228	ar	2008	18408.0	1783	10	1745	1754
50849130564	ar	2008	13866.0	87	3	184	190
50949089019	re	2008	4.00015181E9	4	8		
50949092349	cp	2008	1.2100155615E10			301	304
50949097056	ar	2008	12415.0	15	3	247	259
50949099109	ar	2008	28495.0	13	2	159	170
50949110846	ar	2008	29849.0	27	5	357	373
51049102937	ar	2008	12373.0	48	4	58	68
51049105676	cp	2008	1.2100155644E10				
51249094502	ar	2008	29419.0	283	1-4	168	174
51249119462	cp	2008	1.2100155674E10			273	277
51249120290	ar	2008	18042.0	156	1	238	246
51349089679	cp	2008	18204.0			2171	2179
51349096602	cp	2008	18204.0			161	165
51349110187	cp	2008	18204.0			888	896
51349117727	ar	2008	15849.0	15	5	605	613
51349154747	cp	2008	18204.0			1499	1507
51449093562	cp	2008	145755.0				
51449112581	cp	2008	1.2100156701E10				
51449117823	cp	2008	110544.0			2801	2804
51449119704	cp	2008	145755.0				
51449120349	cp	2008	145755.0				
51549085237	cp	2008	145755.0				
51649085366	cp	2008	145653.0			2295	2300
51649097710	ar	2008	20474.0	68	14	1510	1516
51649116676	cp	2008	145653.0			2603	2608
51649120661	ar	2008	16764.0	28	34	8615	8623
51749088125	ar	2008	20188.0	17	4	454	469
51749093355	cp	2008	1.210015675E10			432	440
51749108030	cp	2008	1.2100156746E10			558	561
51849086462	cp	2008	1.2100156804E10			681	685
51849089044	ar	2008	19261.0	121	5	473	482
51849099036	ar	2008	20335.0	91	3	428	430
51849106086	cp	2008	26104.0			291	296
51849107071	ar	2008	14415.0	52	1	45	56
51849110273	re	2008	19684.0	46	3	711	735
51849123624	cp	2008	1.2100156829E10			494	501
51849130499	ar	2008	12366.0	74	9	1137	1146
51849143342	cp	2008	26104.0			180	185
51849152531	ar	2008	14415.0	52	1	16	27
51849154969	cp	2008	1.2100156829E10			470	477
51849155543	cp	2008	26104.0			406	411
51849165022	ar	2008	20335.0	91	3	423	427
51849166945	cp	2008	26104.0			364	369
51949084370	cp	2008	1.2100157104E10			70	75
51949092588	cp	2008	26010.0				
51949096139	cp	2008	1.2100157104E10			296	301
51949097776	ar	2008	26574.0	149	6	369	379
51949099009	cp	2008	26010.0				
51949105473	cp	2008	1.2100157104E10			202	207
51949111671	ar	2008	24456.0	79	5	1538	1554
51949113080	cp	2008	1.2100157104E10			190	195
52049094331	ar	2008	14388.0	108	4	179	185
52049098498	cp	2008	1.2100157138E10				
52049108227	cp	2008	1.2100156826E10				
52049110509	ar	2008	20828.0	65	7	545	551
52049113690	cp	2008	1.2100157138E10				
52149088970	cp	2008	25674.0	5185 LNCS		38	47
52149124091	cp	2008	55822.0			1188	1193
52249107160	ar	2008	144975.0	16	4	324	327
52249114537	cp	2008	1.2100157162E10			7	12
52349093215	ar	2008	18965.0	49	1	368	376
52349094345	cp	2008	110567.0			1691	1695
